movie_id,votes_kp,votes_imdb,votes_filmCritics,votes_await,rating_kp,rating_imdb,rating_filmCritics,movieLength,ageRating,ratingMpaa,type,fees_usa,videos_trailers_number,budget_in_usd,actor_metric_2019,writer_metric_2019,director_metric_2019,fees_usa_log,movie_age,genres_biografija,genres_boevik,genres_voennyj,genres_detektiv,genres_dokumentalnyj,genres_drama,genres_istorija,genres_komedija,genres_kriminal,genres_melodrama,genres_muzyka,genres_multfilm,genres_mjuzikl,genres_prikljuchenija,genres_semejnyj,genres_sport,genres_triller,genres_uzhasy,genres_fantastika,genres_fentezi,countries_Avstralija,countries_Belgija,countries_Velikobritanija,countries_Germanija,countries_Gonkong,countries_Indija,countries_Ispanija,countries_Italija,countries_Kanada,countries_Kitaj,countries_Koreja_Juzhnaja,countries_SShA,countries_Frantsija,countries_Japonija,Spetseffekty_4Ward_Productions,Spetseffekty_Asylum_VFX,Spetseffekty_Cinesite,Spetseffekty_Custom_Film_Effects,Spetseffekty_Digiscope,Spetseffekty_Digital_Domain,Spetseffekty_Double_Negative,Spetseffekty_Gentle_Giant_Studios_Inc,Spetseffekty_Industrial_Light__Magic_ILM,Spetseffekty_KNB_EFX_Group_Inc,Spetseffekty_Lidar_Services_Inc,Spetseffekty_Lola_Visual_Effects,Spetseffekty_Method_Studios,Spetseffekty_Moving_Picture_Company_The,Spetseffekty_Mr_X_Inc,Spetseffekty_Pacific_Title,Spetseffekty_Pacific_Title__Art_Studio,Spetseffekty_Plowman_Craven__Associates,Spetseffekty_Proof,Spetseffekty_Rhythm__Hues,Spetseffekty_Rodeo_FX,Spetseffekty_Sony_Pictures_Imageworks,Spetseffekty_Third_Floor_The,Proizvodstvo_20th_Century_Fox_Film_Corporation,Proizvodstvo_AMT,Proizvodstvo_Canalfr,Proizvodstvo_Centre_National_de_la_Cinmatographie_CNC,Proizvodstvo_Cin,Proizvodstvo_Columbia_Pictures_Corporation,Proizvodstvo_MetroGoldwynMayer_MGM,Proizvodstvo_Millennium_Films,Proizvodstvo_NBC_Universal_Television,Proizvodstvo_New_Line_Cinema,Proizvodstvo_Paramount_Pictures,Proizvodstvo_Relativity_Media,Proizvodstvo_Silver_Pictures,Proizvodstvo_Studio_Canal,Proizvodstvo_Universal_Pictures,Proizvodstvo_Village_Roadshow_Pictures,Proizvodstvo_Warner_Bros_Pictures
503866,56446.0,47594.0,121.0,2198.0,7.011,7.0,6.4,115.0,18.0,pg13,movie,2436633,2.0,19000000.0,17047707.897101074,1867401.9848394871,3143716.527132203,14.706128136675236,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623658,56408.0,64720.0,113.0,8860.0,6.71,5.3,3.6,114.0,16.0,pg13,movie,28782481,3.0,105000000.0,13032365.14941565,3591315.7046923223,139939.0800235187,17.175277496149757,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929885,56386.0,21408.0,48.0,1148.0,6.511,6.3,5.0,105.0,18.0,r,movie,22017,1.0,,16895137.74081585,246928.7782823533,104400.47027392192,9.999615579630348,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596274,56353.0,124587.0,166.0,7547.0,6.466,6.5,6.2,114.0,16.0,r,movie,26307600,2.0,28000000.0,13767796.296201702,2489592.4861199497,114009.31510709062,17.085368466799085,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840470,56245.0,33809.0,78.0,1877.0,6.869,7.1,7.0,114.0,16.0,nan,movie,127910,2.0,9496605.0,1371329.7285512264,698660.3301243692,686126.6166536715,11.759089988559907,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987151,56187.0,33882.0,141.0,2128.0,6.529,5.8,4.7,97.0,16.0,pg13,movie,27020284,3.0,12000000.0,17405281.312589843,,,17.112098438183114,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662834,56166.0,103544.0,221.0,26366.0,5.572,5.4,5.0,117.0,16.0,r,movie,16973715,1.0,25000000.0,52960714.217257366,1246067.906701657,8689888.144434677,16.647176587900123,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760904,56161.0,37742.0,72.0,931.0,6.929,6.3,3.9,132.0,16.0,pg13,movie,57386418,3.0,20000000.0,24953679.34687045,961415.4042865356,,17.865318230507484,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221042,56106.0,11952.0,107.0,3339.0,6.581,7.2,7.8,130.0,18.0,nan,movie,196258,2.0,,14534.483500016166,18824.25747476896,17826.715925218745,12.187190494465735,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708386,56066.0,85982.0,183.0,6689.0,6.34,6.2,4.8,111.0,18.0,r,movie,36249674,4.0,33000000.0,21790164.89096744,3075067.705654923,213182.37753224056,17.405940973707526,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195557,56054.0,76777.0,123.0,,5.767,4.1,3.6,103.0,16.0,pg13,movie,95673607,1.0,60000000.0,6729288.165920595,41677.24500385724,90774.27678604226,18.376453039914907,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6060,56039.0,94585.0,180.0,,6.644,5.5,4.8,136.0,16.0,r,movie,33715436,4.0,68000000.0,8394240.081313979,3403490.5414409023,66403.8645876787,17.333466361656615,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61293,55972.0,82293.0,122.0,,7.242,6.7,4.7,95.0,16.0,r,movie,3626883,1.0,50000000.0,7290796.859235917,1148461.1181902809,467154.3047976254,15.10388443539903,14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,55917.0,199674.0,173.0,,6.95,7.1,8.1,84.0,0.0,g,cartoon,106834564,2.0,45000000.0,2273317.169291095,114459.08420425364,78802.35745166715,18.486792074451586,19,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
